,Egg_ID,ID,toeClip,TissueBox,sex,clutch,egg_encl_ID,mating_encl_ID,current_encl,species,trt,yolk,temp,mortality,liz_status,season,date_egg_laid_.day.m.year..,egg_date,hatch_date,Hatch_data_.day.m.year.,egg_mass,egg_length_mm,egg_width_mm,post_extract_mass,egg_mass_final,X.reduction,hatch_mass,hatch_svl,hatch_tl,hatch_total,death_date,notes,dev_time,days_alive,yr_post_hatch_mortality
616,EG462_20,LD462_20,"""4400""",Box 1.28,f,CL138_20,E028_M,,E051_F120,delicata,C-28,C,28,0,ALIVE,2020/21,2/12/2020,2/12/2020,31/12/2020,,0.119,8.06,5.06,NA,0.119,NA,0.124,17.753,27.424,45.177,NA,,29,NA,NA
617,EG463_20,LD463_20,"""0540""",Box 1.27,m,CL138_20,E028_M,,,delicata,C-23,C,23,0,ALIVE,2020/21,2/12/2020,2/12/2020,20/1/2021,,0.134,8.01,5.36,NA,0.134,NA,0.11,17.137,25.702,42.839,NA,,49,NA,NA
618,EG465_20,LG465_20,"""0001""",Box 1.28,m,CL139_20,E001_M,,E057_F120,guichenoti,C-23,C,23,0,ALIVE,2020/21,2/12/2020,2/12/2020,20/1/2021,,0.221,9.07,6.63,NA,0.221,NA,0.153,19.673,27.517,47.19,NA,,49,NA,NA
619,EG469_20,LD469_20,"""(12)(234)30""",Box 1.25,m,CL140_20,E009_M,,Ind enclosure,delicata,C-28,C,28,0,ALIVE,2020/21,4/12/2020,4/12/2020,3/1/2021,,0.141,8.46,5.5,NA,0.141,NA,0.104,18.076,22.643,40.719,NA,,30,NA,NA
620,EG470_20,LD470_20,"""1400""",Box 1.26,m,CL140_20,E009_M,,E047_F120,delicata,C-23,C,23,0,ALIVE,2020/21,4/12/2020,4/12/2020,19/1/2021,,0.125,8.49,5.25,NA,0.125,NA,0.1,17.625,21.952,39.577,NA,,46,NA,NA
621,EG473_20,LD473_20,"""4300""",Box 1.26,f,CL140_20,E009_M,,E040_F120,delicata,C-28,C,28,0,ALIVE,2020/21,4/12/2020,4/12/2020,3/1/2021,,0.142,8.54,5.48,NA,0.142,NA,0.099,17.351,22.78,40.131,NA,,30,NA,NA
622,EG474_20,LD474_20,"""3040""",Box 1.26,f,CL140_20,E009_M,,E041_F120,delicata,C-23,C,23,0,ALIVE,2020/21,4/12/2020,4/12/2020,25/1/2021,,0.131,7.93,5.24,NA,0.131,NA,0.114,18.21,25.531,43.741,NA,,52,NA,NA
624,EG478_20,LD478_20,"""2400""",Box 1.28,m,CL141_20,E021_M,,,delicata,C-23,C,23,0,ALIVE,2020/21,4/12/2020,4/12/2020,16/1/2021,,0.18,8.23,6.36,NA,0.18,NA,0.103,16.135,21.278,37.413,NA,,43,NA,NA
625,EG483_20,LD483_20,"""0200""",Box 1.26,m,CL142_20,E010_M,,E048_F120,delicata,C-28,C,28,0,ALIVE,2020/21,4/12/2020,4/12/2020,29/12/2020,,0.219,9.01,6.75,NA,0.219,NA,0.087,15.928,19.802,35.73,NA,,25,NA,NA
626,EG486_20,LD486_20,"""(234)430""",Box 1.28,f,CL143_20,E018_M,,E053_F120,delicata,C-28,C,28,0,ALIVE,2020/21,4/12/2020,4/12/2020,3/1/2021,,0.115,7.52,5.09,NA,0.115,NA,0.107,18.099,23.021,41.12,NA,,30,NA,NA
